첨부자료,Lab 일련번호,LOT,점착사양,인쇄/배면,분류,배합,점착력,가열압착,내열성,내후성,내습성,야외폭로,가공/유지력,절곡성,레이저커팅성,내충격성,비고
,,SG120241002009,911F/사선60mesh/T58(60)x1219x1500x1R,무인쇄/Peel Oil,[TMC용]450g 타겟_양 끝단 밀착 NG,911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),"(363,376,409,416/412,418,453,435)*(초/90/BA/끝단부,중앙부)",,,,,,False,False,False,False,
,,SG120241002011,911F/사선60mesh/G75(80)x1219x1000x2R,LaserPoly/Peel Oil,[SGO975BB]1000m 권취_양 끝단 골주름,911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),"(334,333,381,421/378,361,449,379)*(초/90/BA/끝단부,중앙부)",(450>)*(가/90/BA),,,,,False,False,False,False,
,,SG120241008000,910E/사선150mesh/T45(50)x1330x2000x11R,,[SGE113]고무롤러풀굳음검증용_안굳었음.,910(N.V 46.9%) 55.57g + CX-100(N.V. 100%)(2%) 0.52g + SV02(N.V 40%)(1.5%) 0.98g + T5845(N.V. 10%)(0.20%) 0.52g + 물(2.7배합) 42.41g,"(32,37)*(초/90/BA)",,,,,,False,False,False,False,
"24-10-11_165D,SG120241007001(909W80T75),002(909W80T97)_내후(BA)_7일 스탑마킹 및 백탁.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_0d.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_1d.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_2d.pdf;24-10-14_SG120241007001,SG120241007002_야외폭로(BA)_59일 탈리.pdf",,SG120241007001,909W/사선80mesh/T75(80)x1219x190x1R,,[세유특강]80um타겟,909(N.V 46.9%) 61.83g + CX-100(N.V. 100%)(2.75%) 0.87g + SV02(N.V 40%)(2%) 1.45g + TSR5903(N.V 50%)(10%) 5.79g + T5845(N.V. 10%)(0.20%) 0.58g + 물(2.0배합) 29.61g,"(165.172,173)*(초/90/BA)","(/72/63>239/330/313)*(가/90/BA,미래기업비드,미래기업바이브)",(양호)*(60도3d/HL),(7일스탑마킹)*(BA),(14일양호)*(40도85%/SM),(59일탈리)*(BA),True,False,False,False,
"24-10-11_165D,SG120241007001(909W80T75),002(909W80T97)_내후(BA)_7일 스탑마킹 및 백탁.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_0d.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_1d.pdf;24-10-11_165D,SGO426,80um,100um_가공성(1h,8mm,진양)_2d.pdf;24-10-14_SG120241007001,SG120241007002_야외폭로(BA)_59일 탈리.pdf",,SG120241007002,909W/사선80mesh/T97(100)x1219x190x1R,,[세유특강]100um타겟,909(N.V 46.9%) 61.83g + CX-100(N.V. 100%)(2.75%) 0.87g + SV02(N.V 40%)(2%) 1.45g + TSR5903(N.V 50%)(10%) 5.79g + T5845(N.V. 10%)(0.20%) 0.58g + 물(2.0배합) 29.61g,"(135,132,122)*(초/90/BA)","(/67/42>218/277/335)*(가/90/BA,미래기업비드,미래기업바이브)",(양호)*(60도3d/HL),(7일백탁)*(BA),(14일양호)*(40도85%/SM),(59일탈리)*(BA),True,False,False,False,
"24-11-21_917A(3일숙성,항항3주),917A(5일숙성,항항2주)_가열압착(동국난부착)_탈리.pdf;24-11-27_917A(3일숙성,항항4주),917A(5일숙성,항항3주)_가열압착(동국난부착)_탈리.pdf;24-12-04_917A(3일숙성,항항5주),917A(5일숙성,항항4주)_가열압착(동국난부착)_탈리.pdf",844,SG120241023001,917A/사선50mesh/T58(80)x1290x100x1R,무인쇄/Peel Oil,[동국씨엠난부착PCM용]550g 타겟,917(N.V 46.5%) 91.03g + CX-100(N.V 100%)(1.2%) 0.50g + TSR5903(N.V)(50%) 8.47g + 물(1.125배합) 0g,"(536,543,539,544/562,563,528,522,517,569//565,614)*(초/90/BA/1,2,3,5일숙성)+((508,539/)/(/458,458)/(454,490/435,432)/(548,537/448,453)/(493,525/522,488)/(474,444/))*(초/90/BA/3,5일숙성/항항1,2,3,4,5주)+(147,187/210,211)*(풀림성/90/롤에서바로,재부착)","(195,180,252/327,270,324/240/229>575_탈리,660_탈리,693_탈리/796_탈리,685_탈리,820g_탈리/760_탈리/810g_탈리)*(가:100도1시간/90/동국대나무판/1,2,3,5일숙성)+(//>710_그림자/640,451,400_탈리/690,582_탈리)*(가:60도3일/90/동국대나무판/2,3,5일숙성)","(양호/양호)*(80도3hr,60도1d/동국대나무판)",(7일양호)*(동국대나무판),"(14일양호,28일양호)*(40도85%/동국대나무판)",(10/29-)*(동국대나무판),False,False,False,False,"((310/)/(/251)/(284/181)/(287/236)/(327/210)/(239/)>(938_탈리/575)/(480_탈리/448)/(495_탈리/396_탈리)/(513_탈리/522_탈리)/(850_탈리/648_탈리)/(799_탈리/))*(가:60도3일/90/동국대나무판/3,5일숙성/항항0,1,2,3,4,5주)"
"24-10-25_113A,909X_가공성(1h,8hr,진양)_0d.pdf;24-10-25_113A,909X_가공성(1h,8hr,진양)_1d.pdf;24-10-25_113A,909X_가공성(1h,8hr,진양)_2d.pdf;24-10-25_909X_내후성(BA)_7일 백탁.pdf;24-10-25_SG120241023002_야외폭로(BA)_48일 탈리.pdf;24-10-31_113A,909X_가공성(30min,8mm,2B0.4T)_0d.pdf;24-10-31_113A,909X_가공성(30min,8mm,2B0.4T)_1d.pdf;24-10-31_113A,909X_가공성(30min,8mm,2B0.4T)_4d.pdf;24-11-08_909X_내후(BA)_7일 백탁.pdf;24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_0d.pdf;24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_1d.pdf;24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_2d.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_0d.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_1d.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_4d.pdf;24-11-25_909X,944,958,1062-1064_가공성(1d,8mm,2B)_0d.pdf;24-11-25_909X,944,958,1062-1064_가공성(1d,8mm,2B)_1d.pdf;24-11-25_909X,944,958,1062-1064_가공성(1d,8mm,2B)_2d.pdf;24-11-29_909X,944,958,1062,1086-1089_가공성(1h,8mm,2B)_0d.pdf;24-11-29_909X,944,958,1062,1086-1089_가공성(1h,8mm,2B)_2d.pdf;24-12-04_113A(유성,수성)_가공성(3h,8mm,블랙유광PCM)_0d.pdf;24-12-04_113A(유성,수성)_가공성(3h,8mm,블랙유광PCM)_1d.pdf;24-12-04_113A(유성,수성)_가공성(3h,8mm,블랙유광PCM)_2d.pdf;24-12-04_909X,944,1099-1101_가공성(1h,8mm,2B)_0d.pdf;24-12-04_909X,944,1099-1101_가공성(1h,8mm,2B)_1d.pdf;24-12-04_909X,944,1099-1101_가공성(1h,8mm,2B)_2d.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_0d.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_1d.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_2d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_0d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_1d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_2d.pdf;25-01-13_909X,909AA(VN)_내후성(BA)_7일 백탁.pdf",804,SG120241023002,909X/사선120mesh/T45(50)x1219x190x1R,,[SGO113A]대체용,909(N.V 46.9%) 24.04g + CX-100(N.V. 100%)(3.5%) 0.39g + SV02(N.V 40%)(3%) 0.84g + TSR5903(N.V 50%)(20%) 4.51g + T5845(N.V. 10%)(0.20%) 0.22g + 물(6.0배합) 70g,"(115,102,125,111)*(초/90/BA)","(70,61,62,80,98,91,81,103/55/87,71>198,215,201,201,164,188,153,224,258/170/199,199)*(가/90/상재BA,대양BA,HL)+(71>185)*(가:100도1시간/90/상재BA)","(양호)*(60도3d/BA,타이녹스BA,HL,#4)+(양호/양호/양호)*(60도스웰링스모그/타이녹스BA,HL,#4)+(양호/양호/양호)*(150도15분/BA,SM,HL)","(7일백탁,6일양호,7일백탁,7일백탁)*(BA)",(14일양호)*(40도85%/SM),"(48일탈리,21일탈리)*(BA)",True,False,False,False,
"24-11-12_SG120241105001,_야외폭로(BA)_107일 탈리.pdf;24-11-12_SG120241105001_야외폭로(BA)_83일 탈리.pdf;25-02-11_SGO423TM,909W_가공성(1h,8mm,2B)_0d.pdf;25-02-11_SGO423TM,909W_가공성(1h,8mm,2B)_1d.pdf;25-02-11_SGO423TM,909W_가공성(1h,8mm,2B)_2d.pdf",,"SG120241105001,002",909W/사선80mesh/SW45(50)X148001010x100x2r,,"[SGO-423TM,-633TH]대체용",909(N.V 46.9%) 61.83g + CX-100(N.V. 100%)(2.75%) 0.87g + SV02(N.V 40%)(2%) 1.45g + TSR5903(N.V 50%)(10%) 5.79g + T5845(N.V. 10%)(0.20%) 0.58g + 물(2.0배합) 29.61g,"(161,150/214,202)*(초/90/BA/직후,25년3월21일측정)","(113/174/164/161>402/278/274/266)*(가/90/상재BA,HL,VHPC BA,킨스코BA)+(125/113>339,270/316,267)*(가:100도1시간/90/유니코A,B)+(193/192>225/288)*(가/90/상재BA,VHPC BA/25년3월21일분석)","(양호/양호)*(80도3hr,60도1d/BA)","(7일양호,7일양호)*(BA)",(14일양호)*(40도85%/SM),"(83일탈리,107일탈리)*(BA)",True,False,False,False,
"24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_0d.pdf;24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_1d.pdf;24-11-19_113A,909X(1호기),909X(VN)_가공성(1h,8mm,대양BA)_2d.pdf;24-11-19_909X(VN)_내후성(BA)_6일 탈리.pdf;24-11-19_SGVN120241108001_야외폭로(BA)_23일 탈리.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_0d.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_1d.pdf;24-11-21_909X(KR,VN),944(3,4번bar),958,1042-1045_가공성(1h,8mm,2B)_4d.pdf",,SGVN120241108001,909X/사선120mesh/T48(50)x1290x100x1R,,"[SGO113A]대체용,베트남",909(N.V 46.9%) 24.04g + CX-100(N.V. 100%)(3.5%) 0.39g + SV02(N.V 40%)(3%) 0.84g + TSR5903(N.V 50%)(20%) 4.51g + T5845(N.V. 10%)(0.20%) 0.22g + 물(6.0배합) 70g,"(39,38,35,36,35)*(초/90/BA)","(19,20/28>100,124/87)*(가/90/상재BA,대양BA)",,(6일탈리)*(BA),(14일양호)*(40도85%/SM),(23일탈리)*(BA),True,False,False,False,
,,SGVN120241105001,911F/사선60mesh/G75(80)x1310x500x1R,무인쇄/무배면,"[SGO975BB]베트남,30m/min.생산품",911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),"(445,445///520/507/527)*(초/90/BA/항항0,1,2,3,4,5주)","(415///420/487/456>758///860_탈리/815_탈리/912_탈리)*(가/90/BA/항항0,1,2,3,4,5주)",,,,,False,False,False,False,
"24-12-05_타사,917B,911K,1113-1115_부착유지력(S-2410-03)_0d.pdf;24-12-05_타사,917B,911K,1113-1115_부착유지력(S-2410-03)_3d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_0d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_1d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_2d.pdf",1001,SG120241129003,917B/사선50mesh/T58(80)x1350x100x1R,무인쇄/Peel Oil,[동국씨엠난부착PCM용]550g 타겟,917(N.V 46.5%) 76.70g + 911(N.V. 48.7%) 18.31g + CX-100(N.V 100%)(1.2%) 0.53g + TSR1650(N.V)(50%) 4.46g + 물(1.11배합) 0g,"(369,360,450,465/398,374,470,450/410,360,411,416)*(초/90/BA/부위1,2,3번)+((333,323/57)/(372,350/143)/(345,357/52))*(초/90/BA,동국난부착/숙성1,2,3일)+(424,426/237)*(초/90/BA,동국난부착/현장배합LAB)+((184,142/145,130)/(95,97/110,100)/(50,82/28,75))*(초/90,180/동국난부착/숙성1,2,3일)","(88/155,247/68>745/676,948/611)*(가/90/동국난부착/부위1,2,3번)",,,,(1/24-)*(동국난부착PCM),False,False,False,False,
"24-12-05_타사,917B,911K,1113-1115_부착유지력(S-2410-03)_0d.pdf;24-12-05_타사,917B,911K,1113-1115_부착유지력(S-2410-03)_3d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_0d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_1d.pdf;24-12-09_타사,917B,911K,1001,1113_부착유지력(S-2410-03)_2d.pdf",1021,SG120241129002,911K/사선50mesh/BW58(80)x1310x100x1R,무인쇄/Peel Oil,[YHS알루미늄프로파일용]난부착 타겟,911(N.V. 48.7%) 68.86g + 917(N.V 46.5%) 30.90g + CX-100(N.V 100%)(0.5%) 0.24g + 물(1.08배합) 0g,"(352,333/360,360/354,340)*(초/90/BA/부위1,2,3번)+(399,403/403,409/306,371)*(초/90/BA/숙성1,2,3일)+(417,424)*(초/90/BA/현장배합LAB)",,,,,,False,False,False,False,
"24-12-05_타사,911L,1120-1122_부착유지력(S-2410-02)_0d.pdf;24-12-05_타사,911L,1120-1122_부착유지력(S-2410-02)_3d.pdf;24-12-05_타사,911L,1120-1122_부착유지력(S-2410-02)_4d.pdf;24-12-05_타사,911L,1120-1122_부착유지력(S-2410-02)_5d.pdf",1076,SG120241129001,911L/사선60mesh/BW68(80)x1310x100x1R,,[YHS알루미늄프로파일용]무광 타겟,911(N.V. 48.7%) 55.01g + 917(N.V 46.5%) 38.41g + CX-100(N.V 100%)(1.8%) 0.80g + 물(1.2배합) 5.78g,"(158,149,195,189,180,172/157,155,203,200,172,176/165,154,196,198,176,148)*(초/90/BA/부위1,2,3번)+(150,148)*(초/90/BA)+(196,200,260,266)*(초/90/BA/현장배합LAB)",,(양호)*(60도1d/S-2410-05),,,,False,False,False,False,
,,SGVN120241121001,909X/사선120mesh/T48(50)x1290x100x1R,,"[SGO113A]대체용,베트남2차",909(N.V 46.9%) 24.04g + CX-100(N.V. 100%)(3.5%) 0.39g + SV02(N.V 40%)(3%) 0.84g + TSR5903(N.V 50%)(20%) 4.51g + T5845(N.V. 10%)(0.20%) 0.22g + 물(6.0배합) 70g,"(60,65,48/60,110)*(초/90/BA/생산직후한국측정,25년2월24일베트남측정)","(30/34>176/122)*(가/90/상재BA,HL)",,,,,True,False,False,False,
24-12-13_SG120241210001(909Y사선120목)_야외폭로(BA)_102일 탈리.pdf,,SG120241210001,909Y/사선120mesh/T45(50)x1080x100x1R,,[SGO413]고무롤건조현상 개선용,909(N.V 46.9%) 31.67g + CX-100(N.V. 100%)(5%) 0.74g + SV02(N.V 40%)(2%) 0.74g + TSR5903(N.V 50%)(5%) 1.48g + T5845(N.V. 10%)(0.20%) 0.30g + 물(5.0배합) 65.07g,"(50,61,84)*(초:30m/min/90/BA)",(61>240)*(가/90/상재BA),"(양호/양호)*(80도3hr,60도1d/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(102일탈리)*(BA),False,False,False,False,
"24-12-11_909Z,633TH_가공성(1h,8mm,2B)_0d.pdf;24-12-11_909Z,633TH_가공성(1h,8mm,2B)_1d.pdf;24-12-11_909Z,633TH_가공성(1h,8mm,2B)_2d.pdf;24-12-12_SG120241210002_야외폭로(BA)_53일 탈리.pdf;24-12-27_909Z,883_가공성(1h,8mm,2B)_0d.pdf;24-12-27_909Z,883_가공성(1h,8mm,2B)_1d.pdf;25-01-16_909Z사선100mesh_유니코 들뜸 피드백.pdf",1059,SG120241210002,909Z/사선100mesh/T45(50)x1080x300x1R,,"[유니코정밀]냉기도어,PCM용",909(N.V 46.9%) 44.44g + CX-100(N.V. 100%)(2.75%) 0.57g + SV02(N.V 40%)(2%) 1.04g + TSR5903(N.V 50%)(15%) 6.25g + T5845(N.V. 10%)(0.20%) 0.42g + 물(3.0배합) 47.28g,"(146,148,151,150/148,146,138,150,150,167,153,135,138)*(초/90/BA_1일숙성/2일숙성)","(40,17/32,9>229/204)*(가:100도1시간/90/유니코A,B)","(양호/양호)*(80도3hr,60도1d/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(53일탈리)*(BA),True,False,False,False,
"24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 후.pdf;25-01-08_701A55,911M100_레이저컷팅(BA1.5T,fiber,투컷팅_기화).pdf;25-01-08_레이저 컷팅 요약.txt;25-01-09_701A,911M_가공성(1h,6mm,2B)_0d.pdf;25-01-09_701A,911M_가공성(1h,6mm,2B)_2d.pdf;25-01-09_701A,911M_가공성(1h,6mm,2B)_3d.pdf;25-01-15_937W(기존,항항3주)_가열압착(HL)_그림자.pdf;25-01-16_SGO227(701A55),SGO937W_내충격성(7bar,30도,BA).pdf;25-01-20_944,1275,1286_내충격성(7bar,55도,BA).pdf;25-01-22_701A55,911M100_레이저컷팅(BA1.5T,CO2,투컷팅).pdf;25-01-22_911M(항항4주)_가열압착(HL)_백탁 및 그림.pdf;25-01-22_레이저 컷팅 요약.txt;25-01-31_911M100WPO기존,개선(항항5주)_가열압착(HL)_백.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_0min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_10min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_20min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_60min.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_0hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_1hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_2d.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_2hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_5hr.pdf",,SG120241220001,911M/사선100mesh/WPO100(100)x1310x100x1R,무인쇄/Peel Oil,[SGV227]대체용,911(N.V. 48.7%) 60.70g + 913(N.V 46.6%) 7.05g + CX-100(N.V 100%)(1.5%) 0.49g + 물(2.0배합) 31.76g,"(133,136,120,124/148,171/89,140/191,174)*(초/90/BA/견본품,Lab도포_#8/10/12bar)+(/102,95/100,105/141,127/159,176/160,147)*(초/90/BA/항항0,1,2,3,4,5주)+(39,19)*(초/90/WPO배면)+(110/105)*(내한성/90/BA,HL)","(120>222)*(가/90/HL)+(83/90/90/99/126/80>222/209/181/264_그림자/250_그림자/365_백탁)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)",(14일양호)*(BA),(14일양호)*(40도85%/SM),(12/24-)*(BA),True,True,True,True,
"24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 후.pdf;25-01-17_701A55,911M100_내충격성(7bar,10도20도).pdf;25-01-22_911M(항항4주)_가열압착(HL)_백탁 및 그림.pdf;25-01-31_911M100WPO기존,개선(항항5주)_가열압착(HL)_백.pdf",,SG120241220002,911M/사선100mesh/개선WPO100(100)x1310x100x1R,무인쇄/Peel Oil,[SGV227]대체용,911(N.V. 48.7%) 60.70g + 913(N.V 46.6%) 7.05g + CX-100(N.V 100%)(1.5%) 0.49g + 물(2.0배합) 31.76g,"(124,126,113/114,97/100,95/144,122/161,130/148,155)*(초/90/BA/항항0,1,2,3,4,5주)","(116>253)*(가/90/HL)+(/103/70/97/97/74>/244/157/269/175_백탁/370_백탁)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)",(14일양호)*(BA),(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,True,
"24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 후.pdf;25-02-17_SGO457,911N(항항4주)_가열압착(HL)_탈리.pdf;25-02-24_SGO457,911N(항항5주)_가열압착(HL)_탈리.pdf",1095,SG120241220003,911N/사선60mesh/개선WPO100(100)x1310x100x1R,,[SGO457]대체용,911(N.V. 48.7%) 82.76g + 913(N.V 46.6%) 9.61g + CX-100(N.V 100%)(1.5%) 0.67g + 물(1.2배합) 6.96g,"(169/121,119/170,175,188,203/212,201,234,213/222,178,290,286/200,195,320,331)*(초/90/BA/항항0,1,2,3,4,5주)","(163/131/115/99/42/96/64>323/270/275/250/216/245/96)*(가/90/BA,#3,S-2502-01,-02,-03,-04,2B)+(//220/194/231/207>//316/397/395/505)*(가/90/BA/항항0,1,2,3,4,5주)+(115,139/154/171/122,209/317/337>339,178_1day/391/410/405,413/642_탈리/685_탈리)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)","(14일양호,7일양호)*(BA)",(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,False,
